Team One,Team Two,Percent
Miami Heat,Los Angeles Clippers,28
Miami Heat,Oklahoma City Thunder,23
Miami Heat,Toronto Raptors,19
Miami Heat,Cleveland Cavaliers,16
Miami Heat,San Antonio Spurs,11
Miami Heat,Golden State Warriors,9
Charlotte Hornets,Philadelphia 76ers,99
Charlotte Hornets,Los Angeles Lakers,71
Charlotte Hornets,Brooklyn Nets,62
Charlotte Hornets,Phoenix Suns,61
Charlotte Hornets,Minnesota Timberwolves,62
Charlotte Hornets,New Orleans Pelicans,62
Charlotte Hornets,New York Knicks,62
Charlotte Hornets,Sacramento Kings,62
Charlotte Hornets,Milwaukee Bucks,61
Charlotte Hornets,Denver Nuggets,58
Charlotte Hornets,Orlando Magic,54
Charlotte Hornets,Utah Jazz,49
Charlotte Hornets,Washington Wizards,43
Charlotte Hornets,Houston Rockets,39
Charlotte Hornets,Chicago Bulls,39
Charlotte Hornets,Memphis Grizzlies,44
Charlotte Hornets,Dallas Mavericks,48
Charlotte Hornets,Portland Trail Blazers,48
Charlotte Hornets,Detroit Pistons,46
Charlotte Hornets,Indiana Pacers,45
Charlotte Hornets,Miami Heat,44
Charlotte Hornets,Boston Celtics,41
Charlotte Hornets,Atlanta Hawks,39
Charlotte Hornets,Los Angeles Clippers,35
Charlotte Hornets,Oklahoma City Thunder,29
Charlotte Hornets,Toronto Raptors,24
Charlotte Hornets,Cleveland Cavaliers,20
Charlotte Hornets,San Antonio Spurs,16
Charlotte Hornets,Golden State Warriors,12
Boston Celtics,Philadelphia 76ers,99
Boston Celtics,Los Angeles Lakers,71
Boston Celtics,Brooklyn Nets,62
Boston Celtics,Phoenix Suns,61
Boston Celtics,Minnesota Timberwolves,62
Boston Celtics,New Orleans Pelicans,62
Boston Celtics,New York Knicks,63
Boston Celtics,Sacramento Kings,63
Boston Celtics,Milwaukee Bucks,62
Boston Celtics,Denver Nuggets,60
Boston Celtics,Orlando Magic,57
Boston Celtics,Utah Jazz,53
Boston Celtics,Washington Wizards,47
Boston Celtics,Houston Rockets,41
Boston Celtics,Chicago Bulls,38
Boston Celtics,Memphis Grizzlies,39
Boston Celtics,Dallas Mavericks,45
Boston Celtics,Portland Trail Blazers,48
Boston Celtics,Detroit Pistons,47
Boston Celtics,Indiana Pacers,46
Boston Celtics,Miami Heat,44
Boston Celtics,Charlotte Hornets,43
Boston Celtics,Atlanta Hawks,41
Boston Celtics,Los Angeles Clippers,40
